Id,country,total_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million,deaths_per_million,total_tests,tests_per_million,population,continent,year
226,Niue,189,0,0,143,46,116523,0,0,0,0,1622,Australia/Oceania,2022
227,Vatican City,29,0,0,29,0,36295,0,0,0,0,799,Europe,2022
228,Western Sahara,10,1,0,9,0,16,2,0,0,0,626161,Africa,2022
230,China,357652,5235,0,309259,43158,143,247,4,160000000,110461,1448471400,Asia,2022
1,USA,98166904,1084282,0,94962112,2120510,2970,293206,3239,1118158870,3339729,334805269,North America,2019
2,India,44587307,528629,0,44019095,39583,698,31698,376,894416853,635857,1406631776,Asia,2019
3,France,35342950,155078,0,34527115,660757,869,538892,2365,271490188,4139547,65584518,Europe,2019
4,Brazil,34706757,686027,0,33838636,182094,8318,161162,3186,63776166,296146,215353593,South America,2019
5,Germany,33312373,149948,0,32315200,847225,1406,397126,1788,122332384,1458359,83883596,Europe,2019
6,S. Korea,24769101,28406,42,24013461,727234,352,482547,553,15804065,307892,51329899,Asia,2019
7,UK,23621952,189919,0,23347871,84162,146,344857,2773,522526476,7628357,68497907,Europe,2019
8,Italy,22432803,177054,0,21779604,476145,141,372250,2938,246636495,4092684,60262770,Europe,2019
9,Japan,21229216,44678,0,20380089,804449,204,169043,356,76201407,606772,125584838,Asia,2019
10,Russia,20948470,387163,0,19979763,581544,2300,143674,2655,273400000,1875095,145805947,Europe,2019
11,Turkey,16873793,101139,0,16754301,18353,975,197211,1182,162743369,1902052,85561976,Asia,2019
12,Spain,13412263,114084,0,13218892,79287,339,287083,2442,471036328,10082298,46719142,Europe,2019
13,Vietnam,11477886,43148,0,10590917,843821,106,115993,436,85826548,867342,98953541,Asia,2019
14,Australia,10209239,14984,0,10133494,60761,49,391627,575,78835048,3024116,26068792,Australia/Oceania,2019
15,Argentina,9708420,129897,0,9563348,15175,294,211006,2823,35716069,776264,46010234,South America,2019
16,Netherlands,8422336,22643,0,8362464,37229,35,489345,1316,21107399,1226358,17211447,Europe,2019
17,Iran,7548320,144421,0,7325370,78529,157,87748,1679,54095556,628851,86022837,Asia,2019
18,Mexico,7084488,330065,0,6353953,400470,4798,53849,2509,18393211,139806,131562772,North America,2019
19,Indonesia,6429767,158093,0,6253317,18357,2771,23035,566,108656989,389264,279134505,Asia,2019
20,Taiwan,6417941,11003,0,5603195,803743,0,268661,461,25998416,1088319,23888595,Asia,2019
21,Colombia,6307372,141794,0,6134690,30888,342,122443,2753,36572720,709974,51512762,South America,2019
22,Poland,6289672,117539,0,5335940,836193,3086,166659,3114,37335609,989290,37739785,Europe,2019
23,Portugal,5490639,25024,0,5394788,70827,61,541453,2468,44988307,4436467,10140570,Europe,2019
24,Ukraine,5177217,109206,0,4973554,94457,177,119865,2528,19521252,451963,43192122,Europe,2019
25,Austria,5118512,20738,0,5006572,91202,47,564539,2287,197543761,21787811,9066710,Europe,2019
26,Greece,4920192,33111,0,4836903,50178,115,476918,3209,94139966,9125063,10316637,Europe,2019
27,Malaysia,4838872,36369,0,4777329,25174,43,145832,1096,64604259,1947021,33181072,Asia,2019
28,DPRK,4772813,74,0,4772739,0,0,183636,3,0,0,25990679,Asia,2019
29,Thailand,4681309,32767,9,4642083,6459,1496,66801,468,17270775,246450,70078203,Asia,2019
30,Israel,4661096,11698,0,4641394,8004,101,499796,1254,41373364,4436346,9326000,Asia,2019
31,Chile,4620377,61141,0,4540886,18350,124,240017,3176,45128974,2344339,19250195,South America,2019
32,Belgium,4533249,32659,0,4451569,49021,48,388511,2799,35555508,3047194,11668278,Europe,2019
33,Canada,4233468,44992,0,4131367,57109,99,110280,1172,64928884,1691366,38388419,North America,2019
34,Peru,4143085,216539,0,3914598,11948,147,122998,6429,35126382,1042815,33684208,South America,2019
35,Czechia,4100480,41059,0,4035333,24088,39,381910,3824,56212735,5235528,10736784,Europe,2019
36,Switzerland,4084307,14183,0,4012833,57291,54,465520,1617,22318542,2543819,8773637,Europe,2019
37,South Africa,4018769,102185,0,3909265,7319,192,66146,1682,26174429,430811,60756135,Africa,2019
38,Philippines,3945566,62916,0,3854478,28172,696,35069,559,32796350,291500,112508994,Asia,2019
39,Romania,3267370,67016,0,3180124,20230,123,171684,3521,25094131,1318569,19031335,Europe,2019
40,Denmark,3110831,7065,0,3093396,10370,0,533138,1211,128397719,22004939,5834950,Europe,2019
41,Sweden,2588441,20194,0,2548125,20122,13,253298,1976,18965590,1855920,10218971,Europe,2019
42,Iraq,2459982,25355,0,2433704,923,21,58342,601,19239264,456286,42164965,Asia,2019
43,Serbia,2359530,17000,0,2298536,43994,33,272683,1965,11030499,1274758,8653016,Europe,2019
44,Hungary,2094142,47503,0,2014175,32464,18,217998,4945,11394556,1186160,9606259,Europe,2019
45,Bangladesh,2024489,29362,0,1964501,30626,1331,12059,175,14872260,88586,167885689,Asia,2019
46,Singapore,1904192,1617,0,1821160,81415,9,320380,272,24345019,4096043,5943546,Asia,2019
47,Slovakia,1843220,20455,0,1817938,4827,22,337574,3746,7298163,1336613,5460193,Europe,2019
48,Georgia,1780691,16900,0,1637293,126498,0,448679,4258,16920079,4263340,3968738,Asia,2019
49,New Zealand,1779476,2959,0,1767660,8857,0,363292,604,7544063,1540170,4898203,Australia/Oceania,2019
50,Hong Kong,1761381,10153,0,1469240,281988,8,231630,1335,54352132,7147553,7604299,Asia,2019
51,Jordan,1746997,14122,0,1731007,1868,59,169597,1371,17201885,1669945,10300869,Asia,2019
52,Ireland,1663653,7905,0,1648405,7343,13,331392,1575,12708583,2531490,5020199,Europe,2019
53,Pakistan,1572598,30616,3,1536924,5058,47,6853,133,30477451,132806,229488994,Asia,2019
54,Norway,1462318,4098,0,1457108,1112,20,265327,744,11002430,1996315,5511370,Europe,2019
55,Kazakhstan,1393468,13690,0,1378440,1338,24,72557,713,11575012,602707,19205043,Asia,2019
56,Finland,1292940,5981,0,1263711,23248,21,232754,1077,11505032,2071128,5554960,Europe,2019
57,Morocco,1264935,16278,0,1248543,114,293,33488,431,12577650,332982,37772756,Africa,2019
58,Bulgaria,1258670,37714,0,1211397,9559,43,183892,5510,10559171,1542702,6844597,Europe,2019
59,Lithuania,1249134,9320,0,1216151,23663,12,469298,3502,10174473,3822535,2661708,Europe,2019
60,Croatia,1231575,16902,0,1209524,5149,10,303397,4164,5225875,1287388,4059286,Europe,2019
61,Lebanon,1215511,10674,0,1087587,117250,74,181831,1597,4795578,717380,6684849,Asia,2019
62,Slovenia,1181073,6820,0,1145051,29202,22,568361,3282,2743244,1320115,2078034,Europe,2019
63,Tunisia,1145686,29249,0,0,0,99,95104,2428,4948208,410754,12046656,Africa,2019
64,Guatemala,1123465,19789,0,1102988,688,5,60453,1065,5884813,316660,18584039,North America,2019
65,Cuba,1111179,8530,0,1102548,101,23,98285,754,14149157,1251512,11305652,North America,2019
66,Bolivia,1108195,22234,0,1051789,34172,220,92406,1854,2705422,225590,11992656,South America,2019
67,Costa Rica,1072807,8913,0,860711,203183,52,207012,1720,4659757,899158,5182354,North America,2019
68,UAE,1027031,2345,0,1006369,18317,0,101870,233,190586733,18904066,10081785,Asia,2019
69,Ecuador,1003778,35894,0,964320,3564,759,55416,1982,3082403,170173,18113361,South America,2019
70,Nepal,999712,12018,0,986617,1077,0,33075,398,5936702,196413,30225582,Asia,2019
71,Belarus,994037,7118,0,985592,1327,0,105381,755,13646641,1446722,9432800,Europe,2019
72,Panama,986866,8497,0,976873,1496,16,221919,1911,7062027,1588056,4446964,North America,2019
73,Uruguay,985422,7485,0,976760,1177,18,281870,2141,6114822,1749083,3496016,South America,2019
74,Mongolia,982864,2179,0,979439,1246,192,290954,645,4030048,1193000,3378078,Asia,2019
75,Latvia,929051,5990,0,891237,31824,5,502506,3240,7650009,4137741,1848837,Europe,2019
76,Azerbaijan,821162,9910,0,810181,1071,0,79723,962,7245111,703395,10300205,Asia,2019
77,Saudi Arabia,816389,9351,0,803546,3492,32,22776,261,44321147,1236470,35844909,Asia,2019
78,Paraguay,716059,19583,0,696110,366,7,98012,2680,2657506,363751,7305843,South America,2019
79,Bahrain,680271,1520,0,675724,3027,2,381321,852,10376306,5816370,1783983,Asia,2019
80,Sri Lanka,670763,16761,0,653779,223,0,31089,777,6486117,300619,21575842,Asia,2019
81,Kuwait,658520,2563,0,655316,641,3,150336,585,8365279,1909739,4380326,Asia,2019
82,Dominican Republic,644016,4384,0,638911,721,4,58248,397,3657057,330765,11056370,North America,2019
83,Myanmar,622802,19458,0,597898,5446,0,11277,352,9056450,163985,55227143,Asia,2019
84,Palestine,620548,5403,0,608749,6396,17,116087,1011,3078533,575907,5345541,Asia,2019
85,Estonia,601869,2681,0,524990,74198,4,455303,2028,3536858,2675566,1321910,Europe,2019
86,Moldova,589388,11844,0,504142,73402,49,146863,2951,3216305,801437,4013171,Europe,2019
87,Cyprus,585313,1180,0,578452,5681,60,478437,965,9640118,7879860,1223387,Asia,2019
88,Venezuela,544687,5814,0,538033,840,36,18611,199,3359014,114771,29266991,South America,2019
89,Egypt,515645,24613,0,442182,48850,122,4857,232,3693367,34792,106156692,Africa,2019
90,Libya,506991,6437,0,500507,47,101,72008,914,2481983,352517,7040745,Africa,2019
91,Ethiopia,493563,7572,0,471918,14073,1,4085,63,5258807,43529,120812698,Africa,2019
92,Réunion,472336,893,0,418572,52871,10,520159,983,1603660,1766027,908061,Africa,2019
93,Honduras,456391,10993,0,0,0,105,44651,1076,1528531,149544,10221247,North America,2019
94,Qatar,450448,682,0,443418,6348,4,151161,229,3951470,1326034,2979915,Asia,2019
95,Armenia,442875,8683,0,430192,4000,0,149018,2922,3210961,1080416,2971966,Asia,2019
96,Bosnia and Herzegovina,398668,16136,0,376654,5878,0,122693,4966,1861041,572748,3249317,Europe,2019
97,Oman,397993,4260,0,384669,9064,2,74755,800,25000000,4695724,5323993,Asia,2019
98,North Macedonia,342775,9534,0,332806,435,0,164692,4581,2130257,1023520,2081304,Europe,2019
99,Kenya,338420,5678,0,332663,79,1,6020,101,3881967,69055,56215221,Africa,2019
100,Zambia,333531,4017,0,329375,139,0,17130,206,3731374,191645,19470234,Africa,2019
101,Albania,332173,3588,0,326729,1856,0,115886,1252,1941032,677173,2866374,Europe,2019
102,Botswana,326308,2789,0,322955,564,1,133669,1142,2026898,830300,2441162,Africa,2019
103,Luxembourg,288658,1123,0,283668,3867,0,449363,1748,4402293,6853194,642371,Europe,2019
104,Montenegro,280002,2781,0,276154,1067,6,445899,4429,2624193,4178984,627950,Europe,2019
105,Algeria,270668,6879,0,182306,81483,6,5968,152,230861,5091,45350148,Africa,2019
106,Nigeria,265382,3155,0,258381,3846,11,1224,15,5441162,25104,216746934,Africa,2019
107,Zimbabwe,257409,5602,0,251281,526,12,16790,365,2511501,163814,15331428,Africa,2019
108,China,250449,5226,0,242254,2969,36,173,4,160000000,110461,1448471400,Asia,2019
109,Uzbekistan,244199,1637,0,241486,1076,23,7103,48,1377915,40077,34382084,Asia,2019
110,Mozambique,230219,2221,0,227882,116,11,6957,67,1371127,41437,33089461,Africa,2019
112,Martinique,221618,1044,0,0,0,8,592424,2791,828928,2215870,374087,North America,2019
113,Laos,215843,758,0,0,0,0,28852,101,1233207,164845,7481023,Asia,2019
114,Kyrgyzstan,206083,2991,0,196406,6686,131,30629,445,1907195,283460,6728271,Asia,2019
115,Iceland,205637,213,0,0,0,2,595371,617,1996384,5780036,345393,Europe,2019
116,El Salvador,201785,4229,0,179410,18146,8,30805,646,2610114,398467,6550389,North America,2019
117,Afghanistan,199067,7799,0,177850,13418,1124,4885,191,1103716,27082,40754388,Asia,2019
118,Guadeloupe,192801,989,0,0,0,19,482251,2474,938039,2346306,399794,North America,2019
